"GEO_ID","NAME","P001001","P001001ERR",
"Geography","Geographic Area Name","Total","Errata of Total",
"8600000US10701","ZCTA5 10701","63393","null",
"8600000US10703","ZCTA5 10703","20301","null",
"8600000US10704","ZCTA5 10704","30165","null",
"8600000US10705","ZCTA5 10705","38777","null",
"8600000US10706","ZCTA5 10706","8679","null",
"8600000US10707","ZCTA5 10707","10097","null",
"8600000US10708","ZCTA5 10708","21225","null",
"8600000US10709","ZCTA5 10709","9292","null",
"8600000US10710","ZCTA5 10710","25120","null",
"8600000US10801","ZCTA5 10801","40827","null",
"8600000US10803","ZCTA5 10803","12435","null",
"8600000US10804","ZCTA5 10804","14146","null",
"8600000US10805","ZCTA5 10805","18414","null",
"8600000US10901","ZCTA5 10901","23465","null",
"8600000US10910","ZCTA5 10910","21","null",
"8600000US10911","ZCTA5 10911","2","null",
"8600000US10913","ZCTA5 10913","5532","null",
"8600000US10914","ZCTA5 10914","414","null",
"8600000US10915","ZCTA5 10915","119","null",
"8600000US10916","ZCTA5 10916","4540","null",
"8600000US10917","ZCTA5 10917","1968","null",
"8600000US10918","ZCTA5 10918","11647","null",
"8600000US10919","ZCTA5 10919","1040","null",
"8600000US10920","ZCTA5 10920","8554","null",
"8600000US10921","ZCTA5 10921","4135","null",
"8600000US10922","ZCTA5 10922","1559","null",
"8600000US10923","ZCTA5 10923","8732","null",
"8600000US10924","ZCTA5 10924","13120","null",
"8600000US10925","ZCTA5 10925","4539","null",
"8600000US10926","ZCTA5 10926","3203","null",
"8600000US10927","ZCTA5 10927","11910","null",
"8600000US10928","ZCTA5 10928","4175","null",
"8600000US10930","ZCTA5 10930","8958","null",
"8600000US10931","ZCTA5 10931","1023","null",
"8600000US10932","ZCTA5 10932","60","null",
"8600000US10933","ZCTA5 10933","473","null",
"8600000US10940","ZCTA5 10940","48418","null",
"8600000US10941","ZCTA5 10941","13779","null",
"8600000US10950","ZCTA5 10950","47226","null",
"8600000US10952","ZCTA5 10952","38917","null",
"8600000US10953","ZCTA5 10953","252","null",
"8600000US10954","ZCTA5 10954","23045","null",
"8600000US10956","ZCTA5 10956","31521","null",
"8600000US10958","ZCTA5 10958","3291","null",
"8600000US10960","ZCTA5 10960","15093","null",
"8600000US10962","ZCTA5 10962","5950","null",
"8600000US10963","ZCTA5 10963","4298","null",
"8600000US10964","ZCTA5 10964","1472","null",
"8600000US10965","ZCTA5 10965","14791","null",
"8600000US10968","ZCTA5 10968","2353","null",
"8600000US10969","ZCTA5 10969","1267","null",
"8600000US10970","ZCTA5 10970","9993","null",
"8600000US10973","ZCTA5 10973","2126","null",
"8600000US10974","ZCTA5 10974","3152","null",
"8600000US10975","ZCTA5 10975","281","null",
"8600000US10976","ZCTA5 10976","2258","null",
"8600000US10977","ZCTA5 10977","59048","null",
"8600000US10979","ZCTA5 10979","234","null",
"8600000US10980","ZCTA5 10980","13383","null",
"8600000US10983","ZCTA5 10983","5532","null",
"8600000US10984","ZCTA5 10984","2842","null",
"8600000US10985","ZCTA5 10985","58","null",
"8600000US10986","ZCTA5 10986","1974","null",
"8600000US10987","ZCTA5 10987","3395","null",
"8600000US10988","ZCTA5 10988","896","null",
"8600000US10989","ZCTA5 10989","9293","null",
"8600000US10990","ZCTA5 10990","20631","null",
"8600000US10992","ZCTA5 10992","9621","null",
"8600000US10993","ZCTA5 10993","4769","null",
"8600000US10994","ZCTA5 10994","7085","null",
"8600000US10996","ZCTA5 10996","6756","null",
"8600000US10998","ZCTA5 10998","3122","null",
"8600000US11001","ZCTA5 11001","26883","null",
"8600000US11003","ZCTA5 11003","41356","null",
"8600000US11004","ZCTA5 11004","14016","null",
"8600000US11005","ZCTA5 11005","1806","null",
"8600000US11010","ZCTA5 11010","23821","null",
"8600000US11020","ZCTA5 11020","5914","null",
"8600000US11021","ZCTA5 11021","17729","null",
"8600000US11023","ZCTA5 11023","9027","null",
"8600000US11024","ZCTA5 11024","8002","null",
"8600000US11030","ZCTA5 11030","17962","null",
"8600000US11040","ZCTA5 11040","40782","null",
"8600000US11042","ZCTA5 11042","520","null",
"8600000US11050","ZCTA5 11050","30171","null",
"8600000US11096","ZCTA5 11096","8344","null",
"8600000US11101","ZCTA5 11101","25484","null",
"8600000US11102","ZCTA5 11102","34133","null",
"8600000US11103","ZCTA5 11103","38780","null",
"8600000US11104","ZCTA5 11104","27232","null",
"8600000US11105","ZCTA5 11105","36688","null",
"8600000US11106","ZCTA5 11106","38875","null",
"8600000US11109","ZCTA5 11109","3523","null",
"8600000US11201","ZCTA5 11201","51128","null",
"8600000US11203","ZCTA5 11203","76174","null",
"8600000US11204","ZCTA5 11204","78134","null",
"8600000US11205","ZCTA5 11205","40366","null",
